Experiment,,Experiment,Phase,,Phase,Task,,Phase,Detail
Oddball,,Oddball,Tone-BBN,,BBN,Training,,BBN,Alone
TTS,,Oddball,Tone-Tone,,BBN,Rxn,,BBN,Mixed
Fmr1-LE,,Oddball,Tones,,BBN,TH,,BBN,Rotating
Tsc2-LE,,TTS,BBN,,BBN,Reset,,BBN,None
GD,,TTS,Octave,,Tones,Rxn,,Tones,Alone
,,TTS,Tones,,Tones,TH,,Tones,Rotating
,,Tsc2-LE,BBN,,Tones,Training,,Tones,Mixed
,,Tsc2-LE,Octave,,Tones,Reset,,Tones,None
,,Tsc2-LE,Tones,,Octave,Training,,Tones,50dB PKN
,,Fmr1-LE,BBN,,Octave,Discrimination,,Tones,30dB PKN
,,Fmr1-LE,Octave,,Tone-BBN,Rotating,,Tones,50dB WN
,,Fmr1-LE,Tones,,Tone-BBN,Saline,,Tones,30dB WN
,,GD,Gap Detection,,Tone-BBN,CNO 3mg/kg,,Octave,Normal
,,,,,Tone-BBN,Base case,,Octave,Reversed
,,,,,Tone-BBN,Background,,Tone-BBN,4-6
,,,,,Tone-BBN,Catch trials,,Tone-BBN,2-4
,,,,,Tone-BBN,Uneven odds,,Tone-BBN,3-5
,,,,,Tone-BBN,Uneven odds & Catch,,Tone-BBN,2-6
,,,,,Tone-BBN,Agent 21 1mg/kg,,Gap Detection,None
,,,,,Tone-BBN,Agent 21 3mg/kg,,Gap Detection,Single
,,,,,Gap Detection,Training,,Gap Detection,Mixed
