Rat_name,Rat_ID,DOB,Sex,Genotype,start_date,end_date,HL_date,Assigned_Filename,Assigned_Experiment,Assigned_Phase,Assigned_Task,Assigned_Detail,Persistent_Comment,Max_Weight,Old_Assigned_Filename,Old_Assigned_Experiment,Old_Assigned_Phase,Old_Assigned_Task,Old_Assigned_Detail
Dummy,0,0,None,None,0,0,0,dummy_filename,dummy_experiment,dummy_phase,dummy_task,dummy_detail,This dummy rat is to guarantee that all columns are the correct data type once imported -- columns of all NA become type boolean and then die when we try to write character values into them.,NA,dummy_filename,dummy_experiment,dummy_phase,dummy_task,dummy_detail
Green1,15,20210228,Male,SD,20210601,20220829,20220324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green2,16,20210228,Male,SD,20210601,20220707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green3,17,20210228,Male,SD,20210601,20220825,20220713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green4,18,20210228,Male,SD,20210601,20220829,20220324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green5,19,20210228,Male,SD,20210601,20220708,20220419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green6,20,20210228,Male,SD,20210601,20220708,20220419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange1,21,20210228,Female,SD,20210601,20220526,20220511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange2,22,20210228,Female,SD,20210601,20220526,20220223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange3,23,20210228,Female,SD,20210601,20220629,20220322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange4,24,20210228,Female,SD,20210601,20221029,20220623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange5,25,20210228,Female,SD,20210601,20221029,20220623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange6,26,20210228,Female,SD,20210601,20220325,20220322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange11,192,20220422,Female,SD,20220614,NA,20221004,NA,NA,NA,NA,NA,NA,269,BBN_20-80dB_50ms_8s,TTS,BBN,Rxn,Alone
Orange12,193,20220422,Female,SD,20220614,NA,20221103,NA,NA,NA,NA,NA,NA,259,BBN_15-75dB_100ms_12s,TTS,BBN,TH,Alone
Green11,190,20220422,Male,SD,20220625,NA,20221115,NA,NA,NA,NA,NA,NA,476,BBN_15-75dB_100ms_8s,TTS,BBN,TH,Alone
Green12,191,20220422,Male,SD,20220625,NA,20220928,NA,NA,NA,NA,NA,NA,504,BBN_60-90dB_50ms_4s,TTS,BBN,Rxn,Alone
Purple1,1,20201115,Male,Fmr1_SD_WT,20210414,20220730,20220712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purple2,2,20201115,Male,Fmr1_SD_WT,20210414,20220730,20220712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purple3,3,20201115,Male,Fmr1_SD_KO,20210414,20220614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purple4,4,20201115,Male,Fmr1_SD_KO,20210414,20220614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red1,27,20210515,Male,Fmr1_SD_KO,20210719,20220924,20220809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red2,28,20210515,Male,Fmr1_SD_WT,20210719,20220924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red3,29,20210515,Male,Fmr1_SD_KO,20210719,20220813,20220712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red4,30,20210515,Male,Fmr1_SD_WT,20210719,20220813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red5,31,20210515,Male,Fmr1_SD_WT,20210719,20220806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red6,32,20210515,Male,Fmr1_SD_KO,20210719,20220806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lime1,48,20210515,Male,Fmr1_SD_KO,20210719,20220910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lime2,50,20210515,Male,Fmr1_SD_WT,20210719,20220910,20220802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lime3,49,20210515,Male,Fmr1_SD_KO,20210719,20220917,20220817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lime4,51,20210515,Male,Fmr1_SD_WT,20210719,20220917,20220809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teal1,54,20210515,Male,Fmr1_SD_WT,20210719,20220730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teal2,55,20210515,Male,Fmr1_SD_KO,20210719,20220730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teal3,56,20210515,Male,Fmr1_SD_WT,20210719,20221015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teal4,57,20210515,Male,Fmr1_SD_KO,20210719,20221015,20220809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teal5,53,20210515,Male,Fmr1_SD_WT,20210719,20220806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teal6,58,20210515,Male,Fmr1_SD_KO,20210719,20220806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purple5,106,20211010,Male,Fmr1_SD_WT,20220106,20220514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purple6,107,20211010,Male,Fmr1_SD_WT,20220106,20220514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lime5,108,20211010,Male,Fmr1_SD_KO,20220106,20220514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lime6,109,20211010,Male,Fmr1_SD_KO,20220106,20220514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue1,98,20210720,Male,LE,20211102,NA,NA,NA,NA,NA,NA,NA,NA,660,16kHz_60dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,CNO (3mg/kg),4-6
Blue2,99,20210720,Male,LE,20211102,NA,NA,NA,NA,NA,NA,NA,NA,568,32kHz_60dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Saline,4-6
Blue3,100,20210720,Male,LE,20211102,NA,NA,NA,NA,NA,NA,NA,NA,552,4kHz_75dB_BBN_60dB_8s_2-4,Oddball,Tone-BBN,CNO (3mg/kg),2-4
Blue4,101,20210720,Male,LE,20211102,NA,NA,NA,NA,NA,NA,NA,NA,614,4kHz_75dB_BBN_60dB_8s_4-6,Oddball,Tone-BBN,Saline,4-6
RP1,137,20220127,Male,Tsc2_LE_WT,20220517,NA,NA,NA,NA,NA,NA,NA,"16, 8, 32kHz Done: 4",579,16kHz_20-50dB_50ms_8s,Tsc2-LE,Tones,TH,Alone
RP2,138,20220127,Male,Tsc2_LE_Het,20220517,NA,NA,NA,NA,NA,NA,NA,"16, 8, 32kHz Done: 4",564,16kHz_25-55dB_50ms_8s,Tsc2-LE,Tones,TH,Alone
RP3,139,20220127,Male,Tsc2_LE_Het,20220517,NA,NA,NA,NA,NA,NA,NA,"16 kHz Done: 8, 4, 32",584,16kHz_30-90dB_50ms_4s,Tsc2-LE,Tones,Training,Alone
RP4,140,20220127,Male,Tsc2_LE_WT,20220517,NA,NA,NA,NA,NA,NA,NA,"32, 16 kHz Done: 8, 4",563,32kHz_30-90dB_50ms_8s,Tsc2-LE,Tones,Training,Alone
RP5,141,20220127,Male,Tsc2_LE_Het,20220517,NA,NA,NA,NA,NA,NA,NA,"Done: 16, 8, 32, 4 kHz",592,16kHz_30-90dB_50ms_4s,Tsc2-LE,Tones,Training,Alone
RP6,142,20220127,Male,Tsc2_LE_WT,20220517,NA,NA,NA,NA,NA,NA,NA,"4 kHz Done: 16, 8, 32",562,4kHz_15-45dB_50ms_8s,Tsc2-LE,Tones,TH,Alone
TP1,156,20220130,Female,Tsc2_LE_Het,20220801,NA,NA,NA,NA,NA,NA,NA,"4, 16, 8, 32kHz",291,4kHz_30-90dB_50ms_12s,Tsc2-LE,Tones,Rxn,Alone
TP2,157,20220130,Female,Tsc2_LE_WT,20220801,NA,NA,NA,NA,NA,NA,NA,"4, 16, 8, 32kHz",261,4kHz_30-90dB_50ms_8s,Tsc2-LE,Tones,Rxn,Alone
TP3,159,20220130,Female,Tsc2_LE_Het,20220808,NA,NA,NA,NA,NA,NA,NA,"32, 8, 4 kHz Done: 16",366,32kHz_60-90dB_50ms_8s,Tsc2-LE,Tones,Rxn,Alone
TP4,160,20220130,Female,Tsc2_LE_WT,20220808,NA,NA,NA,NA,NA,NA,NA,"32, 8, 4 kHz, Done: 16",244,32kHz_30-90dB_50ms_4s,Tsc2-LE,Tones,Training,Alone
TP5,163,20220206,Female,Tsc2_LE_WT,20220816,NA,NA,NA,NA,NA,NA,NA,"4, 8, 32, 16kHz",321,4kHz_60-90dB_50ms_16s,Tsc2-LE,Tones,Training,Alone
TP6,164,20220206,Female,Tsc2_LE_Het,20220816,NA,NA,NA,NA,NA,NA,NA,"4, 8, 32, 16kHz",299,BBN_15-75dB_50ms_8s,Tsc2-LE,BBN,TH,Alone
GP1,144,20220127,Male,Tsc2_LE_Het,20220711,NA,NA,NA,NA,NA,NA,NA,"8 kHz Done: 32, 16, 4",578,8kHz_30-90dB_50ms_4s,Tsc2-LE,Tones,Training,Alone
GP2,150,20220127,Male,Tsc2_LE_WT,20220711,NA,NA,NA,NA,NA,NA,NA,"4, 8 kHz Done: 32, 16 ",526,4kHz_30-90dB_50ms_4s,Tsc2-LE,Tones,Rxn,Alone
GP3,145,20220127,Male,Tsc2_LE_Het,20220801,NA,NA,NA,NA,NA,NA,NA,"8, 4 kHz Done: 16, 32",655,8kHz_60-90dB_50ms_4s,Tsc2-LE,Tones,Rxn,Alone
GP4,153,20220130,Male,Tsc2_LE_WT,20220801,NA,NA,NA,NA,NA,NA,NA,"32, 8, 4 kHz Done: 16",555,32kHz_35-95dB_50ms_8s,Tsc2-LE,Tones,TH,Alone
GP5,161,20220206,Male,Tsc2_LE_Het,20220808,NA,NA,NA,NA,NA,NA,NA,"32, 16, 4 kHz Done: 8",503,32kHz_30-90dB_50ms_4s,Tsc2-LE,Tones,Rxn,Alone
GP6,162,20220206,Male,Tsc2_LE_WT,20220808,NA,NA,NA,NA,NA,NA,NA,"8, 32, 16, 4 kHz",584,8kHz_30-90dB_50ms_4s,Tsc2-LE,Tones,Rxn,Alone
